country,year,co2_emissions_tonnes_per_person_CSVfile,coal_consumption_total_CSVfile,income_per_person_gdppercapita_ppp_inflation_adjusted_CSVfile,population_total_CSVfile,sugar_per_person_g_per_day_CSVfile
United Arab Emirates,1991,28.2,0.0,50300.0,2049999.0,90.3
United Arab Emirates,1992,30.2,0.0,49800.0,2170000.0,101.0
United Arab Emirates,1993,31.7,0.0,52800.0,2290000.0,96.7
United Arab Emirates,1994,29.0,0.0,55900.0,2420000.0,104.0
United Arab Emirates,1995,28.7,0.0,58300.0,2540000.0,104.0
United Arab Emirates,1996,27.4,0.0,62500.0,2670000.0,98.6
United Arab Emirates,1997,28.7,0.0,62500.0,2810000.0,96.9
United Arab Emirates,1998,26.2,0.0,64300.0,2970000.0,92.6
United Arab Emirates,1999,35.7,0.0,71200.0,3130000.0,101.0
United Arab Emirates,2000,30.5,18500.0,71800.0,3300000.0,102.0
United Arab Emirates,2001,24.1,94300.0,73000.0,3480000.0,103.0
United Arab Emirates,2002,28.5,111000.0,78100.0,3710000.0,105.0
United Arab Emirates,2003,27.5,126000.0,82000.0,4070000.0,105.0
United Arab Emirates,2004,25.0,145000.0,80200.0,4590000.0,110.0
United Arab Emirates,2005,23.0,282000.0,86400.0,5300000.0,103.0
United Arab Emirates,2006,21.6,136000.0,76600.0,6170000.0,88.9
United Arab Emirates,2007,21.7,343000.0,68800.0,7090000.0,89.7
United Arab Emirates,2008,20.9,274000.0,58400.0,7920000.0,94.1
United Arab Emirates,2009,18.3,658000.0,54900.0,8550000.0,107.0
United Arab Emirates,2010,18.9,445000.0,56100.0,8950000.0,95.3
Argentina,1991,3.61,1050000.0,16200.0,33500000.0,116.0
Argentina,1992,3.46,694000.0,17300.0,34000000.0,117.0
Argentina,1993,3.55,607000.0,18100.0,34400000.0,125.0
Argentina,1994,3.67,638000.0,17400.0,34800000.0,129.0
Argentina,1995,3.82,668000.0,18100.0,35200000.0,124.0
Argentina,1996,3.86,527000.0,19300.0,35700000.0,122.0
Argentina,1997,3.87,708000.0,19900.0,36100000.0,120.0
Argentina,1998,4.02,850000.0,19000.0,36500000.0,131.0
Argentina,1999,3.85,646000.0,18600.0,36900000.0,131.0
Argentina,2000,3.58,529000.0,17600.0,37300000.0,130.0
Argentina,2001,3.3,394000.0,15500.0,37700000.0,128.0
Argentina,2002,3.54,481000.0,16700.0,38100000.0,128.0
Argentina,2003,4.08,819000.0,18000.0,38500000.0,131.0
Argentina,2004,4.15,943000.0,19400.0,38900000.0,136.0
Argentina,2005,4.45,853000.0,20800.0,39300000.0,133.0
Argentina,2006,4.39,1230000.0,22400.0,39700000.0,134.0
Argentina,2007,4.7,1510000.0,23100.0,40100000.0,133.0
Argentina,2008,4.42,827000.0,21500.0,40500000.0,132.0
Argentina,2009,4.57,1160000.0,23500.0,40900000.0,131.0
Argentina,2010,4.61,1260000.0,24600.0,41300000.0,132.0
Australia,1991,16.4,39200000.0,30400.0,17400000.0,139.0
Australia,1992,16.4,39500000.0,31300.0,17600000.0,126.0
Australia,1993,16.5,40300000.0,32200.0,17800000.0,122.0
Australia,1994,17.0,41600000.0,33000.0,18000000.0,132.0
Australia,1995,17.2,43300000.0,33900.0,18200000.0,124.0
Australia,1996,17.5,45500000.0,34800.0,18400000.0,134.0
Australia,1997,18.0,47600000.0,36100.0,18600000.0,132.0
Australia,1998,18.3,50500000.0,37500.0,18800000.0,120.0
Australia,1999,18.5,50900000.0,38500.0,19000000.0,123.0
Australia,2000,18.6,50400000.0,38700.0,19200000.0,125.0
Australia,2001,18.7,51500000.0,39700.0,19400000.0,125.0
Australia,2002,18.9,53000000.0,40400.0,19600000.0,128.0
Australia,2003,19.3,55200000.0,41600.0,19900000.0,128.0
Australia,2004,19.2,54900000.0,42300.0,20200000.0,128.0
Australia,2005,19.1,56400000.0,42900.0,20500000.0,127.0
