country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1320,1460,1550,1540,1500,1550,1390,1270,1150,1110,1010,971,665,493,728,690,656,627,597,578,563,1190,1240,1200,1290,1320,1460,1480,1760,1960,1910,2080,2120,2100,2070,2060,2060,2030
Angola,1690,1580,1480,1450,1430,1270,1390,1560,1560,1590,1650,1600,1240,1290,1520,1760,1940,2080,2190,2320,2490,2900,3120,3520,4270,5560,6920,7820,7750,7690,7680,8040,8140,8240,8040,7570,7310,6930
Albania,4500,4530,4570,4600,4630,4670,4710,4750,4790,4840,3510,3280,3610,3930,4490,4930,4420,4840,5490,5910,6460,6780,7180,7610,8070,8600,9180,9940,10.3k,10.8k,11.1k,11.3k,11.4k,11.6k,11.9k,12.3k,12.8k,13.4k
Andorra,34.4k,33.4k,32.6k,31.7k,31.1k,30.8k,31.2k,31.5k,31.8k,31.8k,31.3k,30.4k,29.1k,29k,29.2k,30.4k,33.2k,34.5k,35.7k,35.4k,35.5k,35.6k,38.6k,40.6k,44.5k,47.8k,48.6k,46.3k,46.7k,43.6k,46.9k,46.9k,48.9k,50.2k,52.1k,53.9k,55.6k,57.6k
United Arab Emirates,89.5k,77.3k,69.4k,68.5k,63.2k,47.9k,47.6k,44.1k,46.8k,51.1k,50.3k,50.3k,49.8k,52.8k,55.9k,58.3k,62.5k,62.5k,64.3k,71.2k,71.8k,73k,78.1k,82k,80.2k,86.4k,76.6k,68.8k,58.4k,54.9k,56.1k,57.4k,59.9k,62.4k,65.2k,66.5k,67.2k,67k
Argentina,15.9k,15.2k,15.6k,15.8k,14.6k,15.5k,15.8k,15.3k,14.3k,14.1k,15.2k,16.2k,17.3k,18.1k,17.4k,18.1k,19.3k,19.9k,19k,18.6k,17.6k,15.5k,16.7k,18k,19.4k,20.8k,22.4k,23.1k,21.5k,23.5k,24.6k,24.1k,24.4k,23.6k,23.9k,23.2k,23.6k,22.8k
Armenia,6880,6860,6700,6710,6690,6420,5850,5360,5850,5180,4620,2740,2550,2760,3010,3230,3380,3650,3800,4050,4460,5080,5820,6470,7420,8460,9710,10.5k,9050,9290,9730,10.4k,10.7k,11k,11.3k,11.3k,12.1k,12.7k
Antigua and Barbuda,8400,8520,9190,9980,10.9k,11.9k,13.1k,14.2k,15k,15.5k,15.6k,15.5k,16k,16.7k,15.6k,16.3k,16.8k,17.3k,17.6k,18.3k,17.2k,17.1k,18k,18.7k,19.7k,21.9k,23.5k,23.1k,20k,18.2k,17.6k,18k,17.6k,18.1k,18.6k,19.4k,19.8k,21.1k
Australia,26.7k,26.2k,25.9k,27.4k,28.4k,28.6k,29.6k,30.4k,31.2k,31.2k,30.6k,30.4k,31.3k,32.2k,33k,33.9k,34.8k,36.1k,37.5k,38.5k,38.7k,39.7k,40.4k,41.6k,42.3k,42.9k,44.3k,45k,44.9k,45.1k,45.6k,46.6k,47k,47.4k,47.8k,48.3k,48.6k,49.3k
Austria,28.9k,29.6k,30.7k,31k,31.8k,32.7k,33.4k,34.6k,36.2k,37.6k,38.5k,38.8k,38.7k,39.5k,40.5k,41.4k,42.2k,43.7k,45.1k,46.6k,47k,47.5k,47.7k,48.7k,49.5k,50.9k,52.7k,53.3k,51.1k,51.9k,53.3k,53.4k,53.1k,53k,53k,53.4k,54.3k,55.5k
Azerbaijan,8090,8430,8590,8940,9120,9210,9530,9850,8860,7760,7590,5780,4380,3470,3030,3030,3180,3460,3690,4060,4430,4810,5270,5700,7220,9610,11.9k,12.9k,13.8k,14.3k,13.9k,14k,14.7k,14.9k,14.9k,14.2k,14.1k,14.2k
Burundi,1100,1060,1070,1040,1130,1150,1170,1190,1180,1190,1220,1200,1110,1050,948,861,839,870,850,828,826,840,805,817,799,815,816,828,832,846,853,863,877,886,825,795,774,762
Belgium,28.6k,29.1k,29.2k,30k,30.4k,31k,31.8k,33.4k,34.5k,35.6k,36.1k,36.5k,36k,37.1k,37.9k,38.3k,39.7k,40.4k,41.7k,43.2k,43.5k,44k,44.3k,45.7k,46.5k,47.4k,48.7k,48.6k,47.2k,48.1k,48.3k,48.4k,48.4k,48.9k,49.6k,50k,50.6k,51.3k
Benin,2060,2210,2060,2150,2250,2230,2130,2130,2060,2180,2190,2180,2230,2200,2250,2280,2340,2360,2410,2480,2530,2570,2580,2610,2580,2610,2690,2740,2720,2710,2710,2760,2880,2980,2950,2960,3050,3160
Burkina Faso,941,941,908,901,994,1050,1020,1050,1050,1020,1080,1050,1060,1050,1080,1160,1200,1250,1310,1300,1340,1360,1430,1450,1530,1580,1590,1630,1630,1720,1780,1840,1880,1910,1930,1980,2040,2120
Bangladesh,1230,1230,1270,1320,1340,1380,1410,1430,1450,1520,1540,1580,1620,1650,1700,1740,1780,1830,1880,1940,2000,2040,2100,2170,2280,2400,2540,2660,2760,2880,3040,3200,3350,3510,3700,3920,4160,4440
Bulgaria,12.8k,13.2k,13k,13.5k,13.1k,13.5k,13.6k,13.6k,13.4k,12.1k,11.2k,10.5k,10.4k,10.6k,11k,11.6k,10k,10.5k,9720,10.2k,10.8k,11.7k,12.4k,13.3k,14.4k,15.5k,16.6k,17.8k,17.3k,17.5k,18k,18.2k,18.4k,18.8k,19.7k,20.6k,21.5k,22.3k
Bahrain,40.4k,40.5k,40.9k,40.6k,38.8k,38.3k,38k,38.6k,38.9k,38.6k,41.8k,43.4k,47.8k,46.5k,47.2k,47.8k,48k,48.7k,49k,49.4k,48.2k,47.3k,47.5k,47.7k,47.5k,46.9k,47k,46.4k,44.8k,44.6k,44.2k,45k,46.9k,48.2k,48.1k,47.9k,47.7k,46.2k
Bahamas,29k,30.5k,31k,34.9k,36k,36.2k,36.8k,37.2k,39.2k,38.1k,35.8k,33.8k,33.3k,33.7k,34.7k,35.7k,36k,37.2k,39.4k,40.5k,41k,41.4k,40.1k,39.8k,40.4k,40.6k,40.4k,38.7k,36.5k,36.5k,36.3k,37k,35.6k,35.7k,35.4k,35.6k,36.3k,37k
Bosnia and Herzegovina,5480,5400,5220,5130,5020,5020,4750,4470,4360,3710,3130,2260,1610,1660,2060,3960,5360,6200,6780,7140,7440,7830,8140,8630,9380,9890,10.5k,11.1k,10.8k,11k,11.2k,11.3k,11.8k,12.1k,12.7k,13.2k,13.8k,14.4k
Belarus,8740,8950,9210,9320,9220,9270,9190,8970,9370,8900,8780,7920,7310,6460,5810,5990,6700,7300,7580,8050,8480,8960,9660,10.8k,11.9k,13.2k,14.4k,15.9k,16k,17.3k,18.3k,18.6k,18.8k,19.1k,18.3k,17.8k,18.3k,18.9k
Belize,3790,3680,3500,3470,3410,3470,3750,3990,4400,4800,5250,5780,6040,5930,5820,5720,5710,5700,5970,6520,6620,6740,7180,7330,7280,7430,7280,7340,7170,7210,7180,7180,7110,7210,7260,7120,7110,7120
